mass_A
t x y
1.660000000E0 1.208464976E2 1.604999285E1
1.670000000E0 1.205414733E2 1.590625057E1
1.680000000E0 1.201717049E2 1.575344023E1
1.690000000E0 1.198299442E2 1.560126177E1
1.700000000E0 1.194290811E2 1.539827514E1
1.710000000E0 1.190174288E2 1.520289260E1
1.720000000E0 1.185939275E2 1.502218062E1
1.730000000E0 1.181559131E2 1.479140205E1
1.740000000E0 1.177049678E2 1.461456477E1
1.750000000E0 1.171948854E2 1.436483271E1
1.760000000E0 1.166697318E2 1.412587525E1
1.770000000E0 1.161731712E2 1.391636628E1
1.780000000E0 1.156259965E2 1.366305876E1
1.790000000E0 1.150676742E2 1.341576257E1
1.800000000E0 1.145152605E2 1.320561640E1
1.810000000E0 1.138910172E2 1.303721739E1
1.820000000E0 1.132244099E2 1.293855338E1
1.830000000E0 1.126596233E2 1.246619949E1
1.840000000E0 1.120547647E2 1.215918201E1
1.850000000E0 1.114106735E2 1.183719496E1
1.860000000E0 1.107024958E2 1.154756314E1
1.870000000E0 1.099874036E2 1.125413866E1
1.880000000E0 1.092265045E2 1.097079854E1
1.890000000E0 1.084746706E2 1.068285414E1
1.900000000E0 1.077260733E2 1.040450499E1
1.910000000E0 1.069225211E2 1.011640997E1
1.920000000E0 1.061135913E2 9.829966379E0
1.930000000E0 1.052901230E2 9.558565872E0
1.940000000E0 1.044892206E2 9.278563272E0
1.950000000E0 1.036468871E2 8.995546607E0
1.960000000E0 1.027980671E2 8.716500124E0
1.970000000E0 1.019199206E2 8.435694108E0
1.980000000E0 1.010238815E2 8.147751481E0
1.990000000E0 1.001256999E2 7.865919969E0
2.000000000E0 9.918331621E1 7.579164822E0
2.010000000E0 9.821545154E1 7.294880782E0
2.020000000E0 9.725462170E1 7.010053682E0
2.030000000E0 9.631907960E1 6.724663916E0
2.040000000E0 9.531735312E1 6.544155078E0
2.050000000E0 9.432995562E1 6.190950141E0
2.060000000E0 9.335591280E1 5.826619234E0
2.070000000E0 9.233420065E1 5.508652472E0
2.080000000E0 9.129942441E1 5.196947944E0
2.090000000E0 9.025844388E1 4.916446333E0
2.100000000E0 8.919466273E1 4.629694419E0
2.110000000E0 8.811622678E1 4.354549187E0
2.120000000E0 8.703680561E1 4.072263364E0
2.130000000E0 8.591099727E1 3.798054524E0
2.140000000E0 8.478032383E1 3.532665386E0
2.150000000E0 8.366053655E1 3.318535033E0
2.160000000E0 8.252695138E1 3.095605619E0
2.170000000E0 8.138369020E1 2.923875983E0
2.180000000E0 8.024246679E1 2.741161704E0
2.190000000E0 7.906055899E1 2.566104739E0
2.200000000E0 7.791021111E1 2.437669859E0
2.210000000E0 7.665130219E1 2.750935056E0
2.220000000E0 7.549418298E1 2.202932757E0
2.230000000E0 7.432222736E1 2.091026682E0
2.240000000E0 7.310423076E1 1.995374135E0
2.250000000E0 7.192661002E1 1.935961917E0
2.260000000E0 7.073075909E1 1.861891194E0
2.270000000E0 6.956263360E1 1.818369714E0
2.280000000E0 6.837352078E1 1.805478532E0
2.290000000E0 6.717996925E1 1.806366310E0
2.300000000E0 6.600145511E1 1.810935451E0
2.310000000E0 6.480201442E1 1.826331703E0
2.320000000E0 6.364186589E1 1.859152319E0
2.330000000E0 6.247322719E1 1.940556988E0
2.340000000E0 6.130418394E1 1.984385632E0
2.350000000E0 6.013367049E1 2.095771333E0
2.360000000E0 5.903909499E1 2.216148597E0
2.370000000E0 5.791745897E1 2.767722476E0
2.380000000E0 5.674365738E1 2.440135124E0
2.390000000E0 5.566339188E1 2.528160602E0
2.400000000E0 5.452609387E1 2.682090358E0
2.410000000E0 5.342808190E1 2.862271668E0
2.420000000E0 5.234260254E1 3.054339476E0
2.430000000E0 5.128326436E1 3.249761879E0
2.440000000E0 5.023914544E1 3.483502248E0
2.450000000E0 4.920235640E1 3.731967452E0
2.460000000E0 4.820812135E1 3.955302942E0
2.470000000E0 4.720362110E1 4.210740539E0
2.480000000E0 4.623405491E1 4.458059913E0
2.490000000E0 4.531264954E1 4.681668177E0
2.500000000E0 4.436801934E1 4.929530661E0
2.510000000E0 4.343454565E1 5.193219448E0
2.520000000E0 4.251803574E1 5.447425602E0
2.530000000E0 4.159305226E1 5.711348774E0
2.540000000E0 4.072360003E1 5.945057721E0
2.550000000E0 3.990160306E1 6.197792059E0
2.560000000E0 3.905607383E1 6.451468343E0
2.570000000E0 3.817632366E1 6.625691443E0
2.580000000E0 3.737576323E1 6.805461190E0
2.590000000E0 3.659778308E1 7.020719748E0
2.600000000E0 3.579948619E1 7.245809263E0
2.610000000E0 3.505384066E1 7.470610039E0
2.620000000E0 3.430728263E1 7.707144429E0
2.630000000E0 3.361742471E1 7.905385995E0
2.640000000E0 3.291632542E1 8.141139896E0
2.650000000E0 3.224192708E1 8.349430746E0
2.660000000E0 3.155304307E1 8.571948191E0
2.670000000E0 3.090102627E1 8.772863427E0
2.680000000E0 3.026036069E1 8.991275572E0
2.690000000E0 2.962054415E1 9.183114080E0
2.700000000E0 2.901083689E1 9.406169571E0
2.710000000E0 2.844018430E1 9.575761770E0
2.720000000E0 2.787856317E1 9.785889970E0
2.730000000E0 2.733145094E1 9.986842319E0
2.740000000E0 2.682775118E1 1.016092095E1
2.750000000E0 2.631328080E1 1.034186232E1
2.760000000E0 2.580953373E1 1.054435392E1
2.770000000E0 2.535527327E1 1.069834719E1
2.780000000E0 2.492495430E1 1.085294584E1
2.790000000E0 2.450036874E1 1.100045681E1
2.800000000E0 2.408895173E1 1.114320865E1
2.810000000E0 2.369627450E1 1.128095618E1
2.820000000E0 2.335084248E1 1.141719098E1
2.830000000E0 2.297825180E1 1.155146865E1
2.840000000E0 2.265784001E1 1.167572630E1
2.850000000E0 2.234863866E1 1.179808773E1
2.860000000E0 2.207204245E1 1.192317788E1
2.870000000E0 2.182347499E1 1.204709287E1
2.880000000E0 2.158444385E1 1.215587120E1
2.890000000E0 2.135275404E1 1.224547274E1
2.900000000E0 2.116162013E1 1.232303995E1
2.910000000E0 2.097170444E1 1.240947761E1
2.920000000E0 2.079946146E1 1.247798471E1
2.930000000E0 2.064722633E1 1.255363027E1
2.940000000E0 2.052213079E1 1.258987298E1
2.950000000E0 2.040569809E1 1.262122328E1
2.960000000E0 2.029937466E1 1.266646342E1
2.970000000E0 2.020417309E1 1.268574975E1
2.980000000E0 2.012608005E1 1.269854761E1
2.990000000E0 2.007519821E1 1.269733121E1
3.000000000E0 2.005637168E1 1.269842937E1
3.010000000E0 2.002628036E1 1.268552219E1
3.020000000E0 2.002438622E1 1.267706537E1
3.030000000E0 2.002997148E1 1.267228607E1
3.040000000E0 2.008458683E1 1.266513456E1
3.050000000E0 2.014690578E1 1.265924121E1
3.060000000E0 2.023803413E1 1.264694170E1
3.070000000E0 2.032069463E1 1.262273390E1
3.080000000E0 2.042722896E1 1.259815001E1
3.090000000E0 2.055258884E1 1.256445637E1
3.100000000E0 2.070047203E1 1.251087133E1
3.110000000E0 2.086409548E1 1.245906563E1
3.120000000E0 2.105255029E1 1.240202253E1
3.130000000E0 2.123791058E1 1.231211866E1
3.140000000E0 2.146218034E1 1.219250967E1
3.150000000E0 2.169282187E1 1.208765970E1
3.160000000E0 2.195726329E1 1.196104566E1
3.170000000E0 2.223962987E1 1.183146576E1
3.180000000E0 2.254994238E1 1.170368174E1
3.190000000E0 2.286313574E1 1.157292988E1
3.200000000E0 2.321331629E1 1.142035364E1
3.210000000E0 2.357519264E1 1.127084078E1
3.220000000E0 2.394769134E1 1.112025013E1
3.230000000E0 2.434255623E1 1.097136019E1
3.240000000E0 2.476648467E1 1.082418416E1
3.250000000E0 2.519893839E1 1.067755085E1
3.260000000E0 2.563836793E1 1.052050273E1
3.270000000E0 2.609323565E1 1.036510106E1
3.280000000E0 2.659452025E1 1.017180725E1
3.290000000E0 2.706445769E1 9.994612969E0
3.300000000E0 2.759761673E1 9.831515060E0
3.310000000E0 2.814417444E1 9.619250538E0
3.320000000E0 2.870264260E1 9.426160217E0
3.330000000E0 2.928417193E1 9.252390645E0
3.340000000E0 2.986757597E1 9.022653620E0
3.350000000E0 3.046686571E1 8.847299078E0
3.360000000E0 3.111434638E1 8.615728014E0
3.370000000E0 3.173888819E1 8.427125783E0
3.380000000E0 3.239602105E1 8.192544637E0
3.390000000E0 3.307321176E1 8.000562026E0
3.400000000E0 3.377607867E1 7.764092925E0
3.410000000E0 3.448001420E1 7.579903650E0
3.420000000E0 3.519930025E1 7.338939087E0
3.430000000E0 3.591123478E1 7.158071853E0
3.440000000E0 3.665857461E1 6.922781300E0
3.450000000E0 3.739482582E1 6.713537613E0
3.460000000E0 3.813534982E1 6.539450882E0
3.470000000E0 3.896302324E1 6.448638135E0
3.480000000E0 3.975654659E1 6.156560524E0
3.490000000E0 4.053486920E1 5.877063276E0
3.500000000E0 4.137668569E1 5.638405385E0
3.510000000E0 4.223627545E1 5.392345372E0
3.520000000E0 4.309947383E1 5.162037583E0
3.530000000E0 4.395970439E1 4.923047119E0
3.540000000E0 4.483035604E1 4.680561405E0
3.550000000E0 4.570037184E1 4.460886302E0
3.560000000E0 4.659816360E1 4.218415746E0
3.570000000E0 4.750351596E1 3.986276284E0
3.580000000E0 4.842466930E1 3.772278472E0
3.590000000E0 4.936474787E1 3.540669945E0
3.600000000E0 5.028945028E1 3.340481879E0
3.610000000E0 5.127533678E1 3.117482819E0
3.620000000E0 5.225709339E1 2.935004544E0
3.630000000E0 5.324482894E1 2.769767096E0
3.640000000E0 5.424809220E1 2.607009625E0
3.650000000E0 5.527292826E1 2.482858047E0
3.660000000E0 5.627845381E1 2.354919268E0
3.670000000E0 5.728190601E1 2.320357053E0
3.680000000E0 5.834205570E1 2.203822360E0
3.690000000E0 5.933084883E1 2.059599505E0
3.700000000E0 6.037545537E1 1.965563545E0
3.710000000E0 6.144598312E1 1.879185213E0
3.720000000E0 6.250651359E1 1.808190932E0
3.730000000E0 6.354607039E1 1.770193578E0
3.740000000E0 6.462799781E1 1.710009361E0
3.750000000E0 6.567641250E1 1.686720476E0
3.760000000E0 6.673061337E1 1.678888330E0
3.770000000E0 6.776499099E1 1.678016198E0
3.780000000E0 6.882858235E1 1.681500415E0
3.790000000E0 6.986502960E1 1.696556482E0
3.800000000E0 7.088715317E1 1.731757670E0
3.810000000E0 7.192642101E1 1.797186920E0
3.820000000E0 7.295969733E1 1.830674554E0
3.830000000E0 7.399721094E1 1.926134849E0
3.840000000E0 7.501706343E1 2.004017219E0
3.850000000E0 7.598431388E1 2.149451660E0
3.860000000E0 7.703941982E1 2.236343227E0
3.870000000E0 7.803111801E1 2.272650832E0
3.880000000E0 7.901046154E1 2.385561689E0
3.890000000E0 7.999296700E1 2.522878125E0
3.900000000E0 8.096925346E1 2.668180582E0
3.910000000E0 8.188372064E1 2.818267504E0
3.920000000E0 8.281766907E1 2.978937025E0
3.930000000E0 8.375718351E1 3.173863891E0
3.940000000E0 8.466080251E1 3.363473511E0
3.950000000E0 8.554448983E1 3.548918180E0
3.960000000E0 8.645742991E1 3.777713902E0
3.970000000E0 8.731899070E1 3.956261878E0
3.980000000E0 8.817703360E1 4.196776166E0
3.990000000E0 8.900768813E1 4.382650631E0
4.000000000E0 8.983955598E1 4.624824373E0
4.010000000E0 9.059719386E1 4.817812711E0
4.020000000E0 9.139907135E1 5.051020199E0
4.030000000E0 9.213661790E1 5.247174807E0
4.040000000E0 9.291271883E1 5.477157450E0
4.050000000E0 9.362983228E1 5.703852798E0
4.060000000E0 9.430867868E1 5.948010084E0
4.070000000E0 9.504461967E1 6.169212276E0
4.080000000E0 9.577032123E1 6.342617874E0
4.090000000E0 9.643343968E1 6.478020606E0
4.100000000E0 9.709340557E1 6.686514503E0
4.110000000E0 9.774458728E1 6.895334281E0
4.120000000E0 9.836960376E1 7.070060919E0
4.130000000E0 9.899782862E1 7.274484423E0
4.140000000E0 9.958525157E1 7.453339829E0
4.150000000E0 1.001499931E2 7.616715124E0
4.160000000E0 1.007181430E2 7.806068300E0
4.170000000E0 1.012589205E2 8.008119889E0
4.180000000E0 1.017988913E2 8.165346885E0
4.190000000E0 1.022784872E2 8.313926234E0
4.200000000E0 1.027677392E2 8.475019152E0
4.210000000E0 1.032431132E2 8.606374534E0
4.220000000E0 1.036819153E2 8.746026527E0
4.230000000E0 1.041084988E2 8.882910821E0
4.240000000E0 1.045205578E2 9.020174650E0
4.250000000E0 1.049254634E2 9.155546179E0
4.260000000E0 1.053254046E2 9.289791222E0
4.270000000E0 1.056837554E2 9.423327405E0
4.280000000E0 1.060440482E2 9.558194879E0
4.290000000E0 1.063630223E2 9.687251341E0
4.300000000E0 1.066974589E2 9.819703942E0
4.310000000E0 1.070249021E2 9.918523560E0
4.320000000E0 1.073062643E2 1.002240112E1
4.330000000E0 1.075870027E2 1.013061087E1
4.340000000E0 1.078453903E2 1.024025002E1
4.350000000E0 1.080510933E2 1.030895283E1
4.360000000E0 1.082877887E2 1.040480192E1
4.370000000E0 1.084641689E2 1.045616688E1
4.380000000E0 1.086324043E2 1.054169422E1
4.390000000E0 1.087777537E2 1.058860514E1
4.400000000E0 1.089104812E2 1.067200792E1
4.410000000E0 1.090240436E2 1.069665614E1
4.420000000E0 1.091508634E2 1.072240093E1
4.430000000E0 1.092706697E2 1.077880443E1
4.440000000E0 1.093386985E2 1.082186426E1
4.450000000E0 1.094245945E2 1.083769711E1
4.460000000E0 1.094535051E2 1.084544132E1
4.470000000E0 1.094813611E2 1.084914513E1
4.480000000E0 1.094709113E2 1.084743668E1
4.490000000E0 1.094619870E2 1.084102386E1
4.500000000E0 1.094432455E2 1.083611012E1
4.510000000E0 1.094246261E2 1.083007454E1
4.520000000E0 1.093683792E2 1.081073120E1
4.530000000E0 1.093013151E2 1.079320371E1
4.540000000E0 1.091930168E2 1.073860491E1
4.550000000E0 1.090899564E2 1.069400998E1
4.560000000E0 1.089848794E2 1.065872374E1
4.570000000E0 1.088458001E2 1.057620820E1
4.580000000E0 1.086856169E2 1.053632467E1
4.590000000E0 1.084906302E2 1.044050151E1
4.600000000E0 1.083019293E2 1.039126125E1
4.610000000E0 1.080579320E2 1.028128025E1
4.620000000E0 1.078403311E2 1.019056348E1
4.630000000E0 1.076006036E2 1.011306573E1
4.640000000E0 1.073220650E2 9.992301108E0
4.650000000E0 1.070378626E2 9.875854252E0
4.660000000E0 1.067311361E2 9.762817906E0
4.670000000E0 1.064305686E2 9.661461714E0
